Date,close_val,,
24.10.2000,80.19,,
25.10.2000,76.13,,
26.10.2000,77.5,,
27.10.2000,78.88,,
30.10.2000,80.69,,
31.10.2000,82.06,,
01.11.2000,83.25,,
02.11.2000,81.75,,
03.11.2000,77.38,,
06.11.2000,81.56,,
07.11.2000,81.81,,
08.11.2000,82.13,,
09.11.2000,82.94,,
10.11.2000,82.94,,
13.11.2000,79.44,,
14.11.2000,79.56,,
15.11.2000,80.38,,
16.11.2000,81.25,,
17.11.2000,81.5,,
20.11.2000,80.25,,
21.11.2000,80.38,,
22.11.2000,75.57,,
24.11.2000,77.75,,
27.11.2000,78.88,,
28.11.2000,78.44,,
29.11.2000,70.25,,
30.11.2000,64.75,,
01.12.2000,65.5,,
04.12.2000,65.94,,
05.12.2000,68.25,,
06.12.2000,71.94,,
07.12.2000,72.88,,
08.12.2000,73.06,,
11.12.2000,76.5,,
12.12.2000,77.19,,
13.12.2000,74.5,,
14.12.2000,76.5,,
15.12.2000,77.56,,
18.12.2000,79.56,,
19.12.2000,79.75,,
20.12.2000,79.75,,
21.12.2000,79.31,,
22.12.2000,81.19,,
27.12.2000,82.81,,
28.12.2000,84.63,,
29.12.2000,83.13,,
02.01.2001,79.88,,
03.01.2001,75.06,,
04.01.2001,72,,
05.01.2001,71.38,,
08.01.2001,71.25,,
09.01.2001,68.63,,
10.01.2001,68.94,,
11.01.2001,69.44,,
12.01.2001,70.44,,
16.01.2001,68.44,,
17.01.2001,71.13,,
18.01.2001,72.06,,
19.01.2001,70.88,,
22.01.2001,75.06,,
23.01.2001,78.56,,
24.01.2001,79.75,,
25.01.2001,82,,
26.01.2001,82,,
29.01.2001,80.77,,
30.01.2001,78.5,,
31.01.2001,80,,
01.02.2001,78.79,,
02.02.2001,79.98,,
05.02.2001,81.81,,
06.02.2001,80.15,,
07.02.2001,80.35,,
08.02.2001,80,,
09.02.2001,80.2,,
12.02.2001,79.8,,
13.02.2001,81.15,,
14.02.2001,80,,
15.02.2001,77.9,,
16.02.2001,76.65,,
19.02.2001,76.65,,
20.02.2001,75.09,,
21.02.2001,73.09,,
22.02.2001,72.15,,
23.02.2001,71,,
26.02.2001,70.56,,
27.02.2001,70.04,,
28.02.2001,68.5,,
01.03.2001,68.68,,
02.03.2001,70.19,,
05.03.2001,70.11,,
06.03.2001,68.87,,
07.03.2001,70,,
08.03.2001,70.59,,
09.03.2001,68.84,,
12.03.2001,61.27,,
13.03.2001,62.05,,
14.03.2001,62.75,,
15.03.2001,66.53,,
16.03.2001,62.24,,
19.03.2001,61.8,,
20.03.2001,60.95,,
21.03.2001,55.89,,
22.03.2001,55.02,,
23.03.2001,59.4,,
26.03.2001,61.48,,
27.03.2001,60.46,,
28.03.2001,58.1,,
29.03.2001,55.31,,
30.03.2001,58.1,,
02.04.2001,56.57,,
03.04.2001,54.06,,
04.04.2001,53.72,,
05.04.2001,55.7,,
06.04.2001,53.5,,
09.04.2001,55.96,,
10.04.2001,58.82,,
11.04.2001,58.51,,
12.04.2001,57.3,,
16.04.2001,59.44,,
17.04.2001,60,,
18.04.2001,61.62,,
19.04.2001,61.16,,
20.04.2001,59.99,,
23.04.2001,61.65,,
24.04.2001,61.87,,
25.04.2001,62.88,,
26.04.2001,63.66,,
27.04.2001,63.5,,
30.04.2001,62.72,,
01.05.2001,62.41,,
02.05.2001,60.5,,
03.05.2001,58.35,,
04.05.2001,59.48,,
07.05.2001,58.04,,
08.05.2001,56.11,,
09.05.2001,59.2,,
10.05.2001,57.6,,
11.05.2001,58.2,,
14.05.2001,58.75,,
15.05.2001,56.99,,
16.05.2001,55.01,,
17.05.2001,52.2,,
18.05.2001,54.9,,
21.05.2001,54.99,,
22.05.2001,54.95,,
23.05.2001,55.35,,
24.05.2001,54.16,,
25.05.2001,53,,
29.05.2001,53.05,,
30.05.2001,53.23,,
31.05.2001,52.91,,
01.06.2001,53.04,,
04.06.2001,54.54,,
05.06.2001,53.75,,
06.06.2001,52.33,,
07.06.2001,50.52,,
08.06.2001,51.13,,
11.06.2001,51,,
12.06.2001,50.37,,
13.06.2001,49.92,,
14.06.2001,47.91,,
15.06.2001,47.26,,
18.06.2001,44.7,,
19.06.2001,46.18,,
20.06.2001,45.8,,
21.06.2001,44.05,,
22.06.2001,44.88,,
25.06.2001,44.07,,
26.06.2001,44.19,,
27.06.2001,46.72,,
28.06.2001,48.34,,
29.06.2001,49.1,,
02.07.2001,48.3,,
03.07.2001,48.69,,
04.07.2001,48.69,,
05.07.2001,49.94,,
06.07.2001,49.06,,
09.07.2001,49.06,,
10.07.2001,49.22,,
11.07.2001,49.1,,
12.07.2001,49.55,,
13.07.2001,48.78,,
16.07.2001,49.12,,
17.07.2001,49.85,,
18.07.2001,48.97,,
19.07.2001,49.08,,
20.07.2001,48.16,,
23.07.2001,46.66,,
24.07.2001,43.24,,
25.07.2001,44.96,,
26.07.2001,46.84,,
27.07.2001,46.1,,
30.07.2001,45.73,,
31.07.2001,45.35,,
01.08.2001,45.61,,
02.08.2001,45.58,,
03.08.2001,45.36,,
06.08.2001,44.5,,
07.08.2001,43.6,,
08.08.2001,42.85,,
09.08.2001,42.78,,
10.08.2001,42.81,,
13.08.2001,42.15,,
14.08.2001,42.93,,
15.08.2001,40.25,,
16.08.2001,36.85,,
17.08.2001,36.67,,
20.08.2001,36.25,,
21.08.2001,36.88,,
22.08.2001,37.26,,
23.08.2001,36.96,,
24.08.2001,36.35,,
27.08.2001,37.76,,
28.08.2001,38.16,,
29.08.2001,37.3,,
30.08.2001,35.5,,
31.08.2001,34.99,,
04.09.2001,35,,
05.09.2001,32.36,,
06.09.2001,30.49,,
07.09.2001,31.57,,
10.09.2001,32.76,,
17.09.2001,30.67,,
18.09.2001,28.08,,
19.09.2001,26.41,,
20.09.2001,28.39,,
21.09.2001,28.3,,
24.09.2001,27,,
25.09.2001,27,,
26.09.2001,25.15,,
27.09.2001,25.25,,
28.09.2001,27.23,,
01.10.2001,29.15,,
02.10.2001,30.61,,
03.10.2001,33.49,,
04.10.2001,33.1,,
05.10.2001,31.73,,
08.10.2001,33.45,,
10.10.2001,33.39,,
11.10.2001,35.2,,
12.10.2001,36.79,,
15.10.2001,35.81,,
16.10.2001,33.17,,
17.10.2001,33.84,,
18.10.2001,32.2,,
19.10.2001,29,,
22.10.2001,26.05,,
23.10.2001,20.65,,
24.10.2001,19.79,,
25.10.2001,16.41,,
26.10.2001,16.35,,
29.10.2001,15.4,,
30.10.2001,13.81,,
31.10.2001,11.16,,
01.11.2001,13.9,,
02.11.2001,11.99,,
05.11.2001,11.3,,
06.11.2001,11.17,,
07.11.2001,9.67,,
08.11.2001,9.05,,
09.11.2001,8.41,,
12.11.2001,8.63,,
13.11.2001,9.24,,
14.11.2001,9.98,,
15.11.2001,10,,
16.11.2001,9.48,,
19.11.2001,9,,
20.11.2001,9.06,,
21.11.2001,6.99,,
23.11.2001,5.01,,
26.11.2001,4.71,,
27.11.2001,4.01,,
28.11.2001,4.11,,
28.11.2001,0.61,,
29.11.2001,0.36,,
30.11.2001,0.26,,
03.12.2001,0.4,,
04.12.2001,0.87,,
05.12.2001,1.01,,
06.12.2001,0.66,,
07.12.2001,0.75,,
10.12.2001,0.81,,
11.12.2001,0.72,,
12.12.2001,0.66,,
13.12.2001,0.66,,
14.12.2001,0.63,,
17.12.2001,0.57,,
18.12.2001,0.5,,
19.12.2001,0.44,,
20.12.2001,0.42,,
21.12.2001,0.53,,
24.12.2001,0.65,,
26.12.2001,0.65,,
27.12.2001,0.6,,
28.12.2001,0.6,,
31.12.2001,0.6,,
